timestamp,sensor_rock_strength,sensor_moisture,sensor_vibration,sensor_slope_angle,sensor_depth,temperature,gas_level,noise_level
2024-01-04 23:00:00,65,0.753,2.895,54,326,28,1.472,68
2024-01-05 00:00:00,33,0.165,6.585,49,323,30,0.671,41
2024-01-05 01:00:00,36,0.29,4.586,23,254,31,0.749,55
2024-01-05 02:00:00,70,0.676,5.194,23,318,34,0.782,83
2024-01-05 03:00:00,18,0.996,6.329,50,376,35,1.064,56
2024-01-05 04:00:00,26,0.174,3.445,26,397,33,0.241,90
2024-01-05 05:00:00,73,0.459,4.543,25,282,41,1.594,102
2024-01-05 06:00:00,62,0.105,5.591,36,378,25,0.82,58
2024-01-05 07:00:00,31,0.53,0.886,40,188,38,0.448,61
2024-01-05 08:00:00,27,0.339,5.881,24,187,22,2.461,76
2024-01-05 09:00:00,44,0.999,2.915,47,322,25,1.771,49
2024-01-05 10:00:00,58,0.157,2.226,26,397,40,1.466,75
2024-01-05 11:00:00,56,0.624,3.213,53,276,44,0.888,52
2024-01-05 12:00:00,24,0.966,1.027,47,216,23,1.537,46
2024-01-05 13:00:00,27,0.946,6.896,25,184,44,1.599,77
2024-01-05 14:00:00,18,0.188,3.693,46,256,37,0.745,48
2024-01-05 15:00:00,61,0.989,4.097,24,241,37,0.248,73
2024-01-05 16:00:00,29,0.989,1.621,25,327,29,0.301,106
2024-01-05 17:00:00,35,0.534,2.691,19,265,26,0.704,64
2024-01-05 18:00:00,68,0.803,4.672,37,224,37,0.831,41
2024-01-05 19:00:00,30,0.757,6.315,35,279,44,1.796,82
2024-01-05 20:00:00,74,0.804,6.703,32,393,39,2.213,99
2024-01-05 21:00:00,50,0.4,6.942,39,231,32,0.472,76
2024-01-05 22:00:00,63,0.586,1.898,34,328,31,2.116,85
2024-01-05 23:00:00,19,0.401,3.39,44,413,42,1.147,59
2024-01-06 00:00:00,58,0.791,5.484,27,377,28,0.321,53
2024-01-06 01:00:00,23,0.101,2.057,38,417,39,1.874,95
2024-01-06 02:00:00,41,0.573,1.08,49,405,38,2.39,58
2024-01-06 03:00:00,73,0.121,4.032,37,224,23,0.479,46
2024-01-06 04:00:00,69,0.367,6.937,21,241,33,1.596,58
2024-01-06 05:00:00,58,0.126,5.598,43,313,36,0.571,41
2024-01-06 06:00:00,62,0.987,3.786,36,313,35,1.954,84
2024-01-06 07:00:00,38,0.178,3.162,17,355,33,0.851,77
2024-01-06 08:00:00,28,0.659,6.47,33,274,41,2.04,83
2024-01-06 09:00:00,65,0.166,4.651,19,308,26,0.782,61
2024-01-06 10:00:00,54,0.461,6.382,38,318,42,0.435,48
2024-01-06 11:00:00,18,0.554,5.868,23,394,41,0.259,55
2024-01-06 12:00:00,44,0.131,3.048,28,312,20,1.008,58
2024-01-06 13:00:00,27,0.601,6.711,44,210,42,0.642,63
2024-01-06 14:00:00,27,0.961,1.706,41,405,23,1.042,92
2024-01-06 15:00:00,30,0.694,4.639,29,226,26,1.171,78
2024-01-06 16:00:00,44,0.903,1.725,52,238,42,0.8,109
2024-01-06 17:00:00,23,0.825,2.833,53,315,33,2.182,82
2024-01-06 18:00:00,69,0.765,3.266,42,397,31,1.788,94
2024-01-06 19:00:00,53,0.908,5.523,33,229,24,2.075,64
2024-01-06 20:00:00,68,0.892,6.541,23,212,40,1.461,55
2024-01-06 21:00:00,21,0.998,0.617,27,265,25,0.549,62
2024-01-06 22:00:00,36,0.252,2.425,33,299,40,1.792,91
2024-01-06 23:00:00,59,0.399,4.661,18,197,32,1.905,57
2024-01-07 00:00:00,42,0.457,2.806,34,212,34,1.646,98
2024-01-07 01:00:00,22,0.852,3.651,30,306,23,1.848,74
2024-01-07 02:00:00,32,0.989,1.161,32,246,25,2.273,91
2024-01-07 03:00:00,57,0.938,2.606,15,234,41,0.47,101
2024-01-07 04:00:00,62,0.303,6.938,46,191,42,0.812,95
2024-01-07 05:00:00,20,0.206,1.594,22,363,36,0.646,62
2024-01-07 06:00:00,51,0.732,2.475,38,278,30,1.407,43
2024-01-07 07:00:00,67,0.426,1.644,41,387,25,1.433,62
2024-01-07 08:00:00,56,0.892,2.668,44,229,32,2.048,82
2024-01-07 09:00:00,56,0.516,2.91,53,275,36,2.071,101
2024-01-07 10:00:00,44,0.504,6.105,50,393,37,0.668,98
2024-01-07 11:00:00,41,0.299,4.098,23,197,19,2.414,87
2024-01-07 12:00:00,15,0.777,3.615,25,299,25,1.878,52
2024-01-07 13:00:00,37,0.298,2.145,34,196,20,0.916,62
2024-01-07 14:00:00,49,0.432,3.033,17,291,25,0.794,68
2024-01-07 15:00:00,27,0.795,0.814,33,217,36,0.611,107
2024-01-07 16:00:00,21,0.311,1.277,37,200,19,2.158,90
2024-01-07 17:00:00,55,0.392,5.379,47,371,20,2.074,88
2024-01-07 18:00:00,49,0.163,1.079,46,254,24,1.981,53
2024-01-07 19:00:00,74,0.845,6.368,51,228,28,1.046,103
2024-01-07 20:00:00,57,0.549,4.343,38,382,34,1.642,60
2024-01-07 21:00:00,61,0.657,6.301,35,378,34,2.144,76
2024-01-07 22:00:00,67,0.327,3.52,40,181,37,0.974,96
2024-01-07 23:00:00,64,0.716,5.138,18,418,24,0.278,102
2024-01-08 00:00:00,44,0.133,5.457,27,229,32,1.082,68
2024-01-08 01:00:00,53,0.32,3.659,18,391,39,1.813,108
2024-01-08 02:00:00,57,0.54,2.221,22,396,36,1.207,71
2024-01-08 03:00:00,32,0.955,4.645,42,266,30,0.331,40
2024-01-08 04:00:00,20,0.577,2.292,31,395,26,1.639,60
2024-01-08 05:00:00,30,0.404,5.523,26,417,29,2.226,62
2024-01-08 06:00:00,64,0.947,0.692,46,232,25,0.356,46
2024-01-08 07:00:00,69,0.474,4.026,31,185,41,1.998,52
2024-01-08 08:00:00,27,0.908,3.553,53,218,24,0.416,104
2024-01-08 09:00:00,56,0.159,5.221,19,323,19,2.41,60
2024-01-08 10:00:00,55,0.94,5.692,18,303,18,2.08,53
2024-01-08 11:00:00,43,0.707,6.349,41,403,36,2.461,70
2024-01-08 12:00:00,69,0.34,1.777,29,263,35,2.499,102
2024-01-08 13:00:00,62,0.923,6.126,34,183,42,1.295,48
2024-01-08 14:00:00,52,0.25,5.583,39,320,29,1.684,52
2024-01-08 15:00:00,24,0.383,4.403,18,291,28,0.733,86
2024-01-08 16:00:00,38,0.222,5.574,27,384,27,2.145,43
2024-01-08 17:00:00,36,0.87,2.184,32,312,21,0.867,76
2024-01-08 18:00:00,19,0.881,6.501,21,287,25,0.428,81
2024-01-08 19:00:00,42,0.268,6.84,24,356,28,0.813,65
2024-01-08 20:00:00,27,0.77,3.165,42,223,37,1.75,92
2024-01-08 21:00:00,56,0.393,2.623,28,392,33,2.3,68
2024-01-08 22:00:00,26,0.369,4.064,53,197,33,2.427,61
2024-01-08 23:00:00,21,0.66,1.02,30,302,27,0.573,97
2024-01-09 00:00:00,71,0.653,5.061,30,251,22,0.685,70
2024-01-09 01:00:00,48,0.453,2.636,49,397,35,1.149,101
2024-01-09 02:00:00,36,0.233,2.566,28,261,43,1.345,82
2024-01-09 03:00:00,36,0.444,0.862,19,223,44,0.507,109
2024-01-09 04:00:00,45,0.384,1.652,45,325,42,0.616,60
2024-01-09 05:00:00,58,0.618,1.269,32,390,25,0.203,44
2024-01-09 06:00:00,43,0.731,2.528,20,413,19,1.924,77
2024-01-09 07:00:00,71,0.947,5.165,27,222,26,0.741,107
2024-01-09 08:00:00,66,0.757,6.791,36,334,39,0.73,108
2024-01-09 09:00:00,70,0.8,5.117,24,222,44,2.067,76
2024-01-09 10:00:00,70,0.324,0.629,45,330,33,0.201,69
2024-01-09 11:00:00,72,0.724,2.366,18,192,38,1.73,57
2024-01-09 12:00:00,27,0.155,1.277,51,231,38,2.381,61
2024-01-09 13:00:00,27,0.573,6.96,35,248,28,1.212,49
2024-01-09 14:00:00,60,0.943,5.833,53,389,37,1.295,51
2024-01-09 15:00:00,51,0.206,4.59,52,357,22,1.53,49
2024-01-09 16:00:00,22,0.817,1.283,46,181,33,1.731,103
2024-01-09 17:00:00,36,0.246,6.833,45,243,23,1.196,102
2024-01-09 18:00:00,73,0.154,1.32,27,315,30,0.926,75
2024-01-09 19:00:00,56,0.832,4.998,19,233,39,0.333,57
2024-01-09 20:00:00,53,0.865,4.143,42,241,20,1.269,83
2024-01-09 21:00:00,30,0.669,1.933,19,334,44,2.07,66
2024-01-09 22:00:00,58,0.265,5.54,35,342,32,2.421,48
2024-01-09 23:00:00,74,0.808,1.323,19,244,24,2.162,72
2024-01-10 00:00:00,33,0.881,5.689,53,231,24,1.646,68
2024-01-10 01:00:00,43,0.821,3.228,26,222,23,2.3,50
2024-01-10 02:00:00,31,0.686,0.913,23,390,29,2.245,85
2024-01-10 03:00:00,20,0.971,1.885,18,229,18,1.797,72
2024-01-10 04:00:00,50,0.429,5.762,45,270,29,1.576,99
2024-01-10 05:00:00,28,0.199,3.552,53,398,44,1.67,64
2024-01-10 06:00:00,47,0.449,0.859,22,412,22,1.766,62
2024-01-10 07:00:00,68,0.923,4.624,44,370,41,2.425,44
2024-01-10 08:00:00,38,0.982,1.274,32,297,29,0.407,100
2024-01-10 09:00:00,46,0.161,1.645,51,372,32,1.934,106
2024-01-10 10:00:00,48,0.167,4.169,33,235,25,2.129,100
2024-01-10 11:00:00,60,0.601,6.144,24,372,35,0.813,100
2024-01-10 12:00:00,55,0.324,1.413,33,394,34,0.752,88
2024-01-10 13:00:00,67,0.938,5.833,15,333,34,0.412,74
2024-01-10 14:00:00,42,0.639,4.947,46,358,38,2.128,48
2024-01-10 15:00:00,29,0.661,6.843,48,191,40,1.345,62
2024-01-10 16:00:00,60,0.481,4.161,29,359,24,2.187,48
2024-01-10 17:00:00,56,0.603,2.283,20,244,39,0.888,101
2024-01-10 18:00:00,57,0.227,4.413,27,286,21,1.406,48
2024-01-10 19:00:00,47,0.254,2.651,25,368,38,1.826,43
2024-01-10 20:00:00,49,0.733,5.038,43,259,20,1.302,53
2024-01-10 21:00:00,46,0.831,6.381,47,340,41,1.67,100
2024-01-10 22:00:00,63,0.675,1.979,20,282,22,0.379,77
2024-01-10 23:00:00,70,0.138,6.447,51,201,42,0.534,106
2024-01-11 00:00:00,53,0.771,3.564,43,393,39,2.499,70
2024-01-11 01:00:00,33,0.48,2.487,48,334,33,1.531,50
2024-01-11 02:00:00,24,0.372,4.938,46,298,38,0.586,59
2024-01-11 03:00:00,24,0.1,2.098,33,394,30,1.994,101
2024-01-11 04:00:00,28,0.216,1.581,18,196,37,1.538,104
2024-01-11 05:00:00,36,0.147,0.762,31,331,42,0.814,96
2024-01-11 06:00:00,58,0.645,2.49,36,296,21,2.08,88
2024-01-11 07:00:00,16,0.462,4.083,43,339,28,1.061,64
2024-01-11 08:00:00,46,0.402,3.645,40,318,34,0.426,84
2024-01-11 09:00:00,29,0.575,4.842,18,248,27,2.479,95
2024-01-11 10:00:00,31,0.491,6.72,36,258,44,0.795,96
2024-01-11 11:00:00,63,0.52,3.135,21,279,20,2.056,41
2024-01-11 12:00:00,40,0.489,5.011,34,262,21,2.415,61
2024-01-11 13:00:00,64,0.627,2.104,17,233,33,2.408,85
2024-01-11 14:00:00,61,0.59,3.926,15,313,18,1.27,69
2024-01-11 15:00:00,48,0.998,1.165,31,284,27,0.885,108
2024-01-11 16:00:00,36,0.442,3.317,42,240,36,2.264,43
2024-01-11 17:00:00,34,0.583,3.296,31,215,24,1.069,86
2024-01-11 18:00:00,33,0.842,3.915,51,251,26,0.302,41
2024-01-11 19:00:00,15,0.213,6.595,32,212,36,0.375,77
2024-01-11 20:00:00,28,0.369,4.041,34,369,21,1.528,47
2024-01-11 21:00:00,73,0.434,2.773,21,298,19,1.525,104
2024-01-11 22:00:00,25,0.488,5.372,23,365,40,1.89,57
2024-01-11 23:00:00,67,0.604,4.563,46,362,25,1.25,77
2024-01-12 00:00:00,73,0.994,5.987,16,259,43,0.625,83
2024-01-12 01:00:00,42,0.54,6.766,26,387,29,1.741,62
2024-01-12 02:00:00,43,0.505,0.659,34,371,30,1.71,53
2024-01-12 03:00:00,23,0.864,1.058,48,369,41,0.85,101
2024-01-12 04:00:00,70,0.79,5.223,35,222,39,1.317,70
2024-01-12 05:00:00,48,0.457,5.682,38,233,22,0.76,108
2024-01-12 06:00:00,51,0.935,6.819,50,269,30,1.292,76
2024-01-12 07:00:00,40,0.337,2.267,30,186,20,1.436,107
2024-01-12 08:00:00,59,0.937,5.457,44,290,43,1.782,97
2024-01-12 09:00:00,66,0.764,3.032,18,351,29,0.795,42
2024-01-12 10:00:00,69,0.746,1.252,44,203,27,0.561,104
2024-01-12 11:00:00,57,0.843,4.566,39,415,21,1.426,80
2024-01-12 12:00:00,43,0.547,2.22,24,201,28,0.399,88
2024-01-12 13:00:00,22,0.346,6.411,36,412,42,2.364,52
2024-01-12 14:00:00,64,0.601,5.852,53,215,39,1.961,108
2024-01-12 15:00:00,30,0.941,1.322,25,282,31,1.272,95
2024-01-12 16:00:00,15,0.804,6.43,26,381,30,1.558,49
2024-01-12 17:00:00,33,0.16,3.256,25,289,23,2.382,80
2024-01-12 18:00:00,54,0.442,3.4,46,225,42,2.271,62
2024-01-12 19:00:00,59,0.216,6.586,17,394,35,2.025,81
2024-01-12 20:00:00,63,0.747,1.919,19,194,29,1.901,84
2024-01-12 21:00:00,15,0.698,3.33,28,252,35,1.167,82
2024-01-12 22:00:00,59,0.816,6.318,39,283,40,2.277,53
2024-01-12 23:00:00,24,0.148,1.362,40,196,24,2.179,78
2024-01-13 00:00:00,61,0.694,4.301,21,240,44,1.377,60
2024-01-13 01:00:00,71,0.261,6.545,48,371,30,1.588,74
2024-01-13 02:00:00,49,0.701,1.522,34,298,19,0.579,104
2024-01-13 03:00:00,63,0.978,2.655,44,252,25,1.479,91
2024-01-13 04:00:00,58,0.202,3.585,32,400,23,1.805,61
2024-01-13 05:00:00,20,0.608,4.63,16,233,41,0.917,71
2024-01-13 06:00:00,36,0.974,5.884,53,226,25,1.437,72
2024-01-13 07:00:00,31,0.445,4.198,27,219,44,1.776,108
2024-01-13 08:00:00,56,0.734,1.388,33,384,25,0.413,54
2024-01-13 09:00:00,26,0.401,4.394,31,196,25,1.429,43
2024-01-13 10:00:00,57,0.512,5.072,25,353,35,1.441,103
2024-01-13 11:00:00,47,0.945,4.513,16,189,22,1.472,40
2024-01-13 12:00:00,55,0.165,6.945,43,318,41,0.951,56
2024-01-13 13:00:00,51,0.509,6.369,33,259,37,0.962,57
2024-01-13 14:00:00,20,0.114,2.96,18,302,29,0.567,59
2024-01-13 15:00:00,43,0.578,0.749,50,205,25,0.424,63
2024-01-13 16:00:00,58,0.751,1.482,38,345,23,1.199,57
2024-01-13 17:00:00,44,0.826,2.671,40,278,30,1.382,88
2024-01-13 18:00:00,64,0.412,2.84,52,193,28,2.394,44
2024-01-13 19:00:00,61,0.744,0.659,39,313,28,1.77,68
2024-01-13 20:00:00,57,0.849,0.627,19,223,31,0.815,70
2024-01-13 21:00:00,67,0.924,0.572,16,226,34,0.469,47
2024-01-13 22:00:00,63,0.361,2.199,22,209,33,1.508,41
2024-01-13 23:00:00,46,0.831,4.381,34,191,31,0.444,61
2024-01-14 00:00:00,22,0.392,3.008,42,199,23,1.053,73
2024-01-14 01:00:00,43,0.129,6.717,24,396,41,2.421,84
2024-01-14 02:00:00,62,0.814,1.504,42,358,41,1.444,108
2024-01-14 03:00:00,73,0.198,1.987,34,415,44,1.897,56
2024-01-14 04:00:00,65,0.339,5.881,23,346,41,2.231,49
2024-01-14 05:00:00,63,0.131,1.828,28,328,38,0.733,77
2024-01-14 06:00:00,29,0.639,6.502,31,342,18,2.498,69
2024-01-14 07:00:00,62,0.208,3.363,29,273,39,1.819,57
2024-01-14 08:00:00,28,0.48,5.145,24,399,21,1.623,94
2024-01-14 09:00:00,34,0.307,0.75,29,229,42,0.655,103
2024-01-14 10:00:00,56,0.701,1.56,42,271,24,0.904,68
2024-01-14 11:00:00,28,0.477,5.561,42,243,19,0.641,84
2024-01-14 12:00:00,39,0.903,2.503,33,203,35,0.501,88
2024-01-14 13:00:00,18,0.337,4.835,52,389,31,0.553,75
2024-01-14 14:00:00,22,0.621,0.507,38,268,29,1.236,88
2024-01-14 15:00:00,64,0.188,2.167,37,350,36,1.387,49
2024-01-14 16:00:00,57,0.649,0.666,47,194,23,1.048,90
2024-01-14 17:00:00,47,0.422,6.807,49,252,24,1.407,40
2024-01-14 18:00:00,48,0.881,4.461,47,412,26,2.178,55
2024-01-14 19:00:00,26,0.387,4.286,22,218,29,0.865,85
2024-01-14 20:00:00,42,0.848,4.226,44,193,32,0.782,70
2024-01-14 21:00:00,19,0.953,4.869,25,374,22,0.843,51
2024-01-14 22:00:00,53,0.728,6.504,39,315,18,1.125,79
2024-01-14 23:00:00,46,0.535,3.989,50,390,29,2.288,61
2024-01-15 00:00:00,74,0.331,1.88,54,295,43,0.232,80
2024-01-15 01:00:00,64,0.149,0.704,34,311,27,1.742,55
2024-01-15 02:00:00,45,0.167,2.521,26,352,39,1.569,84
2024-01-15 03:00:00,29,0.976,1.943,15,245,26,0.605,40
2024-01-15 04:00:00,59,0.471,1.572,52,232,28,0.541,47
2024-01-15 05:00:00,58,0.543,6.314,45,347,41,2.231,85
2024-01-15 06:00:00,27,0.632,2.75,45,346,31,2.157,88
2024-01-15 07:00:00,31,0.572,3.78,26,252,34,0.248,67
2024-01-15 08:00:00,64,0.802,2.329,45,185,43,1.83,70
2024-01-15 09:00:00,73,0.787,3.433,40,247,42,2.089,91
2024-01-15 10:00:00,41,0.218,5.338,47,357,36,1.774,101
2024-01-15 11:00:00,47,0.352,6.349,34,418,42,2.328,102
2024-01-15 12:00:00,58,0.239,6.051,48,230,40,1.244,53
2024-01-15 13:00:00,48,0.229,5.579,21,288,39,1.653,61
2024-01-15 14:00:00,23,0.672,2.072,34,347,31,2.283,77
2024-01-15 15:00:00,67,0.303,2.868,41,248,23,0.739,68
2024-01-15 16:00:00,45,0.847,5.649,45,184,38,0.764,44
2024-01-15 17:00:00,48,0.899,5.462,15,295,36,0.553,108
2024-01-15 18:00:00,30,0.345,2.425,30,240,29,2.328,69
2024-01-15 19:00:00,37,0.777,2.602,25,331,27,2.372,104
2024-01-15 20:00:00,71,0.343,6.678,36,299,37,0.781,42
2024-01-15 21:00:00,68,0.144,3.714,19,358,28,0.889,74
2024-01-15 22:00:00,49,0.756,4.748,16,196,31,2.017,95
2024-01-15 23:00:00,27,0.445,6.712,25,180,21,1.902,46
2024-01-16 00:00:00,19,0.983,6.548,33,244,28,0.482,99
2024-01-16 01:00:00,59,0.686,1.53,45,329,25,1.439,50
2024-01-16 02:00:00,70,0.295,2.909,54,204,18,1.681,62
2024-01-16 03:00:00,35,0.522,6.64,38,294,27,0.594,79
2024-01-16 04:00:00,58,0.195,4.993,35,399,38,0.472,87
2024-01-16 05:00:00,64,0.986,5.549,47,328,34,0.667,40
2024-01-16 06:00:00,33,0.353,5.825,48,206,21,0.312,74
2024-01-16 07:00:00,71,0.322,2.617,43,262,29,0.849,92
2024-01-16 08:00:00,36,0.1,3.966,50,378,36,1.715,98
2024-01-16 09:00:00,65,0.766,6.788,21,215,31,2.496,85
2024-01-16 10:00:00,72,0.749,5.283,15,247,18,1.466,76
2024-01-16 11:00:00,37,0.656,3.22,25,187,33,0.981,95
2024-01-16 12:00:00,33,0.247,2.076,19,393,29,1.431,95
2024-01-16 13:00:00,20,0.599,0.992,27,316,20,0.242,62
2024-01-16 14:00:00,54,0.377,3.409,51,201,32,0.273,63
2024-01-16 15:00:00,70,0.98,2.483,54,198,35,0.799,67
2024-01-16 16:00:00,20,0.802,4.205,19,377,38,1.023,87
2024-01-16 17:00:00,20,0.133,6.882,48,353,29,0.553,90
2024-01-16 18:00:00,21,0.217,0.921,33,263,21,2.417,102
2024-01-16 19:00:00,46,0.241,4.682,22,268,28,2.315,94
2024-01-16 20:00:00,44,0.416,1.848,27,220,42,0.811,45
2024-01-16 21:00:00,31,0.119,1.465,23,384,44,0.237,84
2024-01-16 22:00:00,57,0.22,6.231,27,324,35,0.729,62
2024-01-16 23:00:00,69,0.297,1.456,37,387,20,0.882,61
2024-01-17 00:00:00,61,0.821,0.581,36,256,37,1.521,104
2024-01-17 01:00:00,19,0.557,4.521,18,406,44,1.078,76
2024-01-17 02:00:00,61,0.563,6.901,53,315,44,2.018,78
2024-01-17 03:00:00,53,0.216,5.173,46,296,23,0.342,93
2024-01-17 04:00:00,28,0.474,4.663,15,381,32,0.591,66
2024-01-17 05:00:00,17,0.152,6.403,28,210,29,0.538,87
2024-01-17 06:00:00,27,0.208,4.705,37,194,43,1.207,74
2024-01-17 07:00:00,69,0.666,4.131,44,223,41,2.369,90
2024-01-17 08:00:00,39,0.216,4.114,15,185,24,1.984,62
2024-01-17 09:00:00,42,0.255,5.957,25,314,23,1.48,52
2024-01-17 10:00:00,74,0.981,3.269,46,399,37,0.973,69
2024-01-17 11:00:00,70,0.848,2.944,40,330,30,1.984,84
