rock_strength,moisture,vibration,slope_angle,depth,label
55,0.61,2.88,41,319,0
57,0.6,1.05,21,348,0
59,0.47,5.09,37,321,0
39,0.44,1.64,21,231,0
54,0.83,2.42,39,318,0
67,0.63,1.09,24,238,0
44,0.37,3.16,39,211,0
54,0.55,5.2,18,374,0
44,0.43,2.96,29,217,0
48,0.85,1.9,41,348,0
37,0.21,4.77,30,340,0
65,0.36,4.94,27,348,0
37,0.46,1.87,32,325,0
21,0.54,4.85,44,335,0
54,0.8,5.74,30,245,0
35,0.26,1.83,40,303,0
60,0.76,4.85,39,334,0
55,0.24,4.54,39,350,0
52,0.79,3.37,38,285,0
23,0.24,1.29,39,349,0
52,0.21,1.37,45,288,0
33,0.69,5.26,26,221,0
40,0.9,5.95,43,291,0
67,0.83,4.38,26,228,0
39,0.6,3.23,32,212,0
27,0.84,4.24,27,201,0
26,0.2,3.97,41,228,0
22,0.88,2.92,43,379,0
36,0.54,1.33,42,226,0
52,0.71,5.11,46,249,0
67,0.77,2.86,27,294,0
31,0.7,5.09,25,350,0
41,0.57,2.26,41,287,0
41,0.53,1.01,33,243,0
65,0.79,1.79,34,221,0
49,0.34,3.34,43,370,0
57,0.88,5.72,44,364,0
57,0.7,1.51,22,388,0
64,0.34,5.27,21,296,0
27,0.72,3.64,35,383,0
46,0.57,5.13,41,202,0
46,0.7,2.49,36,390,0
53,0.74,5.2,21,317,0
40,0.26,4.86,45,218,0
49,0.55,2.15,24,222,0
52,0.85,1.66,27,356,0
47,0.42,5.34,42,229,0
66,0.62,5.82,35,238,0
52,0.46,1.16,36,307,0
24,0.52,4.66,21,310,0
67,0.58,5.55,27,224,0
38,0.58,5.29,18,327,0
23,0.34,5.82,40,310,0
54,0.68,4.8,35,335,0
68,0.26,3.21,22,305,0
36,0.3,2.56,32,385,0
63,0.2,2.6,34,343,0
47,0.28,4.62,20,271,0
49,0.53,4.73,29,328,0
48,0.62,2.0,19,307,0
65,0.76,5.34,18,204,0
25,0.27,4.57,40,202,0
54,0.8,3.81,38,392,0
60,0.72,3.36,34,331,0
56,0.49,3.72,39,303,0
43,0.85,1.8,33,263,0
48,0.89,2.02,22,305,0
68,0.34,1.46,32,297,0
65,0.47,1.77,20,209,0
50,0.85,3.27,45,348,0
54,0.71,3.65,24,327,0
52,0.23,1.09,49,245,0
40,0.75,4.98,28,354,0
51,0.78,2.47,27,265,0
42,0.73,5.56,26,368,0
52,0.76,5.84,31,311,0
22,0.78,1.93,30,212,0
37,0.33,3.31,46,336,0
44,0.36,1.01,42,363,0
61,0.64,3.99,47,285,0
50,0.84,4.04,42,289,0
22,0.42,2.24,19,257,0
59,0.61,3.79,49,253,0
65,0.68,2.13,20,211,0
43,0.52,1.8,24,213,0
69,0.7,4.26,38,320,0
51,0.83,2.63,35,361,0
66,0.64,3.95,20,380,0
41,0.58,3.17,27,320,0
42,0.51,5.92,39,219,0
21,0.6,1.75,46,274,0
46,0.45,3.32,24,343,0
61,0.47,4.4,26,269,0
21,0.57,2.98,34,255,0
45,0.25,5.87,28,300,0
36,0.36,4.61,24,385,0
59,0.58,4.28,41,331,0
52,0.5,4.79,45,310,0
28,0.43,5.76,31,324,0
62,0.71,5.54,36,331,0
67,0.69,4.62,21,219,0
58,0.32,4.75,43,337,0
48,0.82,1.73,23,223,0
61,0.55,1.51,27,353,0
45,0.72,3.85,49,236,0
54,0.6,1.09,24,253,0
69,0.9,3.41,30,302,0
44,0.73,2.05,31,348,0
43,0.69,2.73,21,237,0
32,0.75,4.88,25,373,0
26,0.3,5.71,22,203,0
55,0.34,1.36,18,387,0
64,0.7,3.67,21,256,0
39,0.55,5.41,20,372,0
20,0.73,1.41,26,219,0
27,0.27,5.12,25,216,0
65,0.58,2.79,18,318,0
35,0.47,2.61,44,270,0
33,0.52,5.89,23,203,0
31,0.62,2.0,26,213,0
42,0.55,4.47,24,202,0
34,0.58,5.11,21,279,0
47,0.54,1.21,30,385,0
53,0.49,4.35,34,254,0
21,0.74,5.76,45,331,1
51,0.21,1.62,19,319,0
42,0.62,5.48,45,223,0
41,0.6,3.97,22,361,0
44,0.7,4.08,29,357,0
41,0.62,4.06,44,281,0
41,0.78,2.49,49,346,0
68,0.87,5.68,38,358,0
61,0.44,5.74,25,387,0
25,0.36,4.13,23,259,0
34,0.5,4.92,25,346,0
62,0.4,4.06,35,248,0
56,0.63,3.42,20,262,0
52,0.84,4.3,39,309,0
27,0.3,3.77,29,349,0
63,0.27,3.99,46,351,0
63,0.38,4.92,43,308,0
24,0.71,3.4,20,275,0
58,0.62,1.2,39,229,0
23,0.27,1.82,23,257,0
25,0.84,3.19,19,316,0
64,0.75,4.62,40,358,0
51,0.22,3.97,29,299,0
49,0.66,4.25,19,391,0
66,0.74,3.4,23,218,0
54,0.46,4.08,34,375,0
59,0.25,2.65,20,372,0
35,0.25,3.35,19,293,0
32,0.27,4.72,40,382,0
69,0.79,5.36,47,312,0
61,0.84,3.17,37,382,0
49,0.29,1.22,25,345,0
38,0.37,1.81,39,262,0
36,0.32,1.1,29,315,0
38,0.33,4.27,43,312,0
47,0.79,2.66,21,246,0
45,0.43,3.71,22,256,0
56,0.42,3.47,30,317,0
45,0.36,1.41,46,244,0
42,0.63,3.02,48,360,0
28,0.47,2.1,32,344,0
31,0.72,3.09,42,397,0
20,0.34,2.02,40,203,0
20,0.75,5.2,33,347,0
66,0.62,1.87,27,246,0
53,0.28,5.8,47,342,0
51,0.49,3.08,47,397,0
67,0.8,5.23,42,246,0
44,0.85,4.14,40,277,0
59,0.53,4.68,33,323,0
64,0.54,4.84,29,274,0
20,0.84,3.52,34,302,0
35,0.61,3.72,33,336,0
58,0.22,3.57,29,289,0
24,0.84,3.94,25,343,0
41,0.37,1.15,37,268,0
48,0.6,2.98,20,260,0
22,0.32,4.03,33,337,0
31,0.22,3.99,47,249,0
45,0.42,4.96,30,202,0
35,0.75,4.28,40,306,1
56,0.39,5.96,45,312,0
41,0.35,2.42,36,293,0
48,0.35,2.8,25,317,0
33,0.56,2.92,39,397,0
47,0.88,3.33,22,280,0
24,0.52,5.18,37,308,0
66,0.59,2.18,25,250,0
68,0.8,4.88,41,346,0
49,0.57,3.03,29,369,0
65,0.33,4.01,18,234,0
24,0.41,4.16,42,245,0
31,0.42,2.86,47,353,0
35,0.48,3.56,38,268,0
45,0.5,3.07,37,292,0
45,0.76,1.35,23,263,0
67,0.44,3.19,39,364,0
40,0.53,1.49,35,248,0
58,0.64,3.03,25,348,0
55,0.46,3.96,24,273,0
52,0.79,3.9,49,391,0
49,0.61,4.31,18,204,0
56,0.41,1.48,38,299,0
42,0.7,4.26,33,269,0
29,0.57,2.56,29,289,0
24,0.57,3.0,23,203,0
55,0.54,5.29,37,325,0
53,0.55,1.05,19,238,0
50,0.74,3.94,46,362,0
29,0.27,3.99,31,328,0
38,0.43,2.98,21,223,0
51,0.25,2.19,18,256,0
20,0.73,2.17,40,299,0
24,0.39,5.42,35,269,0
64,0.83,3.21,30,240,0
23,0.57,2.65,19,381,0
